review_id,review_date,cloud,principal,role,privilege_level,mfa,decision,reviewer
IAM-00001,2026-01-01,Azure,user1@northstar.example,Administrator,Standard,No,Modify,reviewer1
IAM-00002,2026-01-02,Azure,user2@northstar.example,Operator,Elevated,Yes,Modify,reviewer2
IAM-00003,2026-01-03,Azure,user3@northstar.example,Operator,Standard,No,Remove,reviewer3
IAM-00004,2026-01-04,Azure,user4@northstar.example,Contributor,Elevated,Yes,Remove,reviewer4
IAM-00005,2026-01-05,AWS,user5@northstar.example,Reader,Elevated,Yes,Remove,reviewer5
IAM-00006,2026-01-06,AWS,user6@northstar.example,Contributor,Standard,No,Remove,reviewer6
IAM-00007,2026-01-07,Azure,user7@northstar.example,Reader,Elevated,No,Modify,reviewer7
IAM-00008,2026-01-08,Azure,user8@northstar.example,Administrator,Standard,No,Modify,reviewer8
IAM-00009,2026-01-09,Azure,user9@northstar.example,Administrator,Elevated,Yes,Modify,reviewer1
IAM-00010,2026-01-10,Azure,user10@northstar.example,Contributor,Standard,Yes,Remove,reviewer2
IAM-00011,2026-01-11,AWS,user11@northstar.example,Operator,Elevated,No,Modify,reviewer3
IAM-00012,2026-01-12,Azure,user12@northstar.example,Reader,Standard,Yes,Modify,reviewer4
IAM-00013,2026-01-13,AWS,user13@northstar.example,Operator,Standard,Yes,Remove,reviewer5
IAM-00014,2026-01-14,AWS,user14@northstar.example,Operator,Standard,Yes,Remove,reviewer6
IAM-00015,2026-01-15,AWS,user15@northstar.example,Contributor,Standard,No,Remove,reviewer7
IAM-00016,2026-01-16,AWS,user16@northstar.example,Reader,Standard,No,Modify,reviewer8
IAM-00017,2026-01-17,Azure,user17@northstar.example,Contributor,Elevated,Yes,Remove,reviewer1
IAM-00018,2026-01-18,Azure,user18@northstar.example,Operator,Elevated,No,Retain,reviewer2
IAM-00019,2026-01-19,AWS,user19@northstar.example,Contributor,Standard,No,Remove,reviewer3
IAM-00020,2026-01-20,Azure,user20@northstar.example,Administrator,Standard,Yes,Remove,reviewer4
IAM-00021,2026-01-21,AWS,user21@northstar.example,Administrator,Elevated,Yes,Modify,reviewer5
IAM-00022,2026-01-22,AWS,user22@northstar.example,Administrator,Standard,Yes,Remove,reviewer6
IAM-00023,2026-01-23,Azure,user23@northstar.example,Administrator,Elevated,No,Retain,reviewer7
IAM-00024,2026-01-24,Azure,user24@northstar.example,Contributor,Elevated,Yes,Retain,reviewer8
IAM-00025,2026-01-25,Azure,user25@northstar.example,Contributor,Elevated,No,Retain,reviewer1
IAM-00026,2026-01-26,Azure,user26@northstar.example,Contributor,Elevated,Yes,Modify,reviewer2
IAM-00027,2026-01-27,Azure,user27@northstar.example,Administrator,Standard,No,Modify,reviewer3
IAM-00028,2026-01-28,AWS,user28@northstar.example,Administrator,Elevated,No,Retain,reviewer4
IAM-00029,2026-01-29,Azure,user29@northstar.example,Reader,Elevated,Yes,Retain,reviewer5
IAM-00030,2026-01-30,AWS,user30@northstar.example,Administrator,Elevated,Yes,Remove,reviewer6
IAM-00031,2026-01-31,AWS,user31@northstar.example,Reader,Elevated,Yes,Remove,reviewer7
IAM-00032,2026-02-01,AWS,user32@northstar.example,Contributor,Standard,Yes,Retain,reviewer8
IAM-00033,2026-02-02,AWS,user33@northstar.example,Contributor,Standard,Yes,Modify,reviewer1
IAM-00034,2026-02-03,AWS,user34@northstar.example,Contributor,Standard,Yes,Modify,reviewer2
IAM-00035,2026-02-04,Azure,user35@northstar.example,Reader,Standard,Yes,Retain,reviewer3
IAM-00036,2026-02-05,AWS,user36@northstar.example,Administrator,Elevated,Yes,Retain,reviewer4
IAM-00037,2026-02-06,Azure,user37@northstar.example,Administrator,Elevated,Yes,Retain,reviewer5
IAM-00038,2026-02-07,AWS,user38@northstar.example,Operator,Elevated,No,Retain,reviewer6
IAM-00039,2026-02-08,Azure,user39@northstar.example,Contributor,Standard,Yes,Remove,reviewer7
IAM-00040,2026-02-09,Azure,user40@northstar.example,Operator,Elevated,Yes,Modify,reviewer8
IAM-00041,2026-02-10,AWS,user41@northstar.example,Operator,Elevated,Yes,Modify,reviewer1
IAM-00042,2026-02-11,AWS,user42@northstar.example,Operator,Standard,No,Retain,reviewer2
IAM-00043,2026-02-12,AWS,user43@northstar.example,Administrator,Standard,Yes,Modify,reviewer3
IAM-00044,2026-02-13,AWS,user44@northstar.example,Contributor,Elevated,Yes,Modify,reviewer4
IAM-00045,2026-02-14,Azure,user45@northstar.example,Contributor,Elevated,Yes,Remove,reviewer5
IAM-00046,2026-02-15,Azure,user46@northstar.example,Administrator,Standard,No,Modify,reviewer6
IAM-00047,2026-02-16,Azure,user47@northstar.example,Operator,Standard,Yes,Modify,reviewer7
IAM-00048,2026-02-17,AWS,user48@northstar.example,Contributor,Standard,No,Modify,reviewer8
IAM-00049,2026-02-18,AWS,user49@northstar.example,Operator,Elevated,No,Retain,reviewer1
IAM-00050,2026-02-19,AWS,user50@northstar.example,Reader,Standard,No,Retain,reviewer2
IAM-00051,2026-02-20,AWS,user51@northstar.example,Operator,Elevated,Yes,Retain,reviewer3
IAM-00052,2026-02-21,AWS,user52@northstar.example,Reader,Elevated,Yes,Modify,reviewer4
IAM-00053,2026-02-22,AWS,user53@northstar.example,Administrator,Elevated,Yes,Retain,reviewer5
IAM-00054,2026-02-23,AWS,user54@northstar.example,Contributor,Elevated,No,Modify,reviewer6
IAM-00055,2026-02-24,AWS,user55@northstar.example,Operator,Standard,Yes,Modify,reviewer7
IAM-00056,2026-02-25,AWS,user56@northstar.example,Administrator,Standard,Yes,Remove,reviewer8
IAM-00057,2026-02-26,Azure,user57@northstar.example,Contributor,Elevated,Yes,Remove,reviewer1
IAM-00058,2026-02-27,AWS,user58@northstar.example,Operator,Standard,Yes,Retain,reviewer2
IAM-00059,2026-02-28,AWS,user59@northstar.example,Administrator,Elevated,No,Retain,reviewer3
IAM-00060,2026-03-01,Azure,user60@northstar.example,Operator,Elevated,No,Modify,reviewer4
IAM-00061,2026-03-02,Azure,user61@northstar.example,Reader,Standard,Yes,Retain,reviewer5
IAM-00062,2026-03-03,Azure,user62@northstar.example,Administrator,Elevated,Yes,Modify,reviewer6
IAM-00063,2026-03-04,AWS,user63@northstar.example,Reader,Elevated,Yes,Modify,reviewer7
IAM-00064,2026-03-05,Azure,user64@northstar.example,Administrator,Standard,Yes,Modify,reviewer8
IAM-00065,2026-03-06,Azure,user65@northstar.example,Operator,Elevated,Yes,Remove,reviewer1
IAM-00066,2026-03-07,AWS,user66@northstar.example,Reader,Elevated,Yes,Retain,reviewer2
IAM-00067,2026-03-08,Azure,user67@northstar.example,Operator,Elevated,Yes,Modify,reviewer3
IAM-00068,2026-03-09,AWS,user68@northstar.example,Operator,Standard,Yes,Modify,reviewer4
IAM-00069,2026-03-10,AWS,user69@northstar.example,Operator,Standard,No,Retain,reviewer5
IAM-00070,2026-03-11,AWS,user70@northstar.example,Administrator,Standard,Yes,Remove,reviewer6
